,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Tuatapere,NZ,-46.1333,167.6833,50.72,72,63,10.92,broken clouds
113,Lompoc,US,34.6391,-120.4579,69.94,70,0,21.0,clear sky
114,Marawi,PH,7.9986,124.2928,75.6,80,100,1.28,overcast clouds
115,Nemuro,JP,43.3236,145.575,45.72,96,100,14.97,overcast clouds
116,Bredasdorp,ZA,-34.5322,20.0403,54.9,89,70,4.14,broken clouds
117,Anito,PH,12.4497,125.2886,84.81,68,73,7.09,broken clouds
118,Broken Hill,AU,-31.95,141.4333,62.51,56,0,9.55,clear sky
119,Isangel,VU,-19.55,169.2667,84.31,79,40,4.61,scattered clouds
120,Vanimo,PG,-2.6741,141.3028,85.78,66,100,6.24,overcast clouds
121,San Patricio,US,28.017,-97.5169,84.09,66,88,11.1,overcast clouds
122,Knysna,ZA,-34.0363,23.0471,59.07,59,100,1.43,overcast clouds
123,Samarai,PG,-10.6167,150.6667,81.99,76,30,7.7,scattered clouds
124,Phonhong,LA,18.5007,102.4166,74.66,95,100,0.6,overcast clouds
125,Albania,AL,41.0,20.0,62.56,76,12,3.65,few clouds
126,Kalmunai,LK,7.4167,81.8167,79.95,71,35,4.12,scattered clouds
127,Yarensk,RU,62.1675,49.0916,29.82,97,100,8.99,light snow
128,Hobart,AU,-42.8794,147.3294,56.26,84,40,11.5,scattered clouds
129,Muros,ES,42.7762,-9.0603,59.68,92,35,2.62,scattered clouds
130,Shirdi,IN,19.7667,74.4833,77.56,63,0,8.21,clear sky
131,Hirara,JP,24.8,125.2833,80.46,89,75,13.8,broken clouds
132,Namatanai,PG,-3.6667,152.4333,85.42,59,44,12.03,scattered clouds
133,Faanui,PF,-16.4833,-151.75,80.92,69,14,13.51,few clouds
134,Souillac,MU,-20.5167,57.5167,73.78,83,75,8.05,broken clouds
135,Lusambo,CD,-4.9667,23.45,68.43,97,99,1.41,overcast clouds
136,Tshikapa,CD,-6.4167,20.8,71.92,87,95,1.16,overcast clouds
137,Pallisa,UG,1.145,33.7094,63.63,96,37,4.27,light rain
138,Mahebourg,MU,-20.4081,57.7,73.69,83,75,8.05,broken clouds
139,Nahariyya,IL,33.0059,35.0941,68.99,83,10,4.0,clear sky
140,Magnolia,US,33.2671,-93.2393,63.88,88,100,10.29,overcast clouds
141,Bengkulu,ID,-3.8004,102.2655,76.33,88,36,2.59,scattered clouds
142,Bethel,US,41.3712,-73.414,75.07,90,100,0.0,mist
143,Provideniya,RU,64.3833,-173.3,51.91,58,0,13.42,clear sky
144,Cabo San Lucas,MX,22.8909,-109.9124,82.62,44,0,11.5,clear sky
145,Smithers,CA,54.7804,-127.1743,64.72,22,75,13.8,broken clouds
146,Avarua,CK,-21.2078,-159.775,84.25,74,75,9.22,broken clouds
147,Juneau,US,58.3019,-134.4197,68.0,67,75,0.0,broken clouds
148,Hambantota,LK,6.1241,81.1185,77.34,100,20,6.91,few clouds
149,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.3,88,100,8.66,overcast clouds
150,Dodoma,TZ,-6.1722,35.7395,61.66,87,12,5.41,few clouds
151,Esmeraldas,BR,-19.7625,-44.3139,63.64,68,0,3.87,clear sky
152,Lufilufi,WS,-13.8745,-171.5986,85.78,75,42,18.16,light rain
153,Tupik,RU,54.4253,119.9327,46.69,78,100,8.08,overcast clouds
154,Bluff,NZ,-46.6,168.3333,52.16,75,97,30.56,overcast clouds
155,Yorosso,ML,12.3536,-4.7761,83.01,53,100,9.22,overcast clouds
156,College,US,64.8569,-147.8028,67.28,25,40,10.36,scattered clouds
157,San Rafael,AR,-34.6177,-68.3301,57.33,31,55,2.15,broken clouds
158,Borujerd,IR,33.8973,48.7516,59.94,28,0,4.72,clear sky
159,Linhares,BR,-19.3911,-40.0722,66.27,88,99,2.89,overcast clouds
160,Kamenka,RU,51.3223,42.7678,43.81,95,100,9.55,overcast clouds
161,Esperance,AU,-33.8667,121.9,65.14,67,0,14.65,clear sky
162,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,5.75,overcast clouds
163,Manado,ID,1.487,124.8455,84.97,74,20,2.3,few clouds
164,Hami,CN,42.8,93.45,81.23,17,66,6.22,broken clouds
165,Coahuayana,MX,18.7333,-103.6833,78.48,74,29,5.7,scattered clouds
166,Galesong,ID,-5.3166,119.3661,78.82,75,96,5.44,overcast clouds
167,Nanortalik,GL,60.1432,-45.2371,34.41,92,52,8.97,broken clouds
168,Khatanga,RU,71.9667,102.5,33.44,78,100,8.52,overcast clouds
169,Port Hardy,CA,50.6996,-127.4199,59.18,44,100,13.8,overcast clouds
170,Codrington,AU,-38.2667,141.9667,52.52,67,3,5.77,clear sky
171,Port Hedland,AU,-20.3167,118.5667,77.05,100,40,0.0,scattered clouds
172,Adrar,MR,20.5022,-10.0711,88.57,18,73,5.59,broken clouds
173,Sulejowek,PL,52.2522,21.269,52.92,87,100,8.66,overcast clouds
174,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,8.05,broken clouds
175,Abashiri,JP,44.0213,144.2697,61.09,77,75,5.75,broken clouds
176,Olafsvik,IS,64.8945,-23.7142,43.2,67,0,12.48,clear sky
177,Yulara,AU,-25.2406,130.9889,65.46,36,100,10.25,overcast clouds
178,Quatre Cocos,MU,-20.2078,57.7625,73.51,76,9,12.48,clear sky
179,Ngunguru,NZ,-35.6167,174.5,62.26,65,100,11.16,overcast clouds
180,Chokurdakh,RU,70.6333,147.9167,33.46,100,100,6.49,overcast clouds
181,Katsuura,JP,35.1333,140.3,66.15,83,43,17.58,scattered clouds
182,Bonavista,CA,48.6499,-53.1147,50.5,79,100,14.2,overcast clouds
183,Saint George,US,37.1041,-113.5841,86.63,10,0,10.36,clear sky
184,Spornoye,RU,50.8448,37.2913,42.87,92,78,9.69,broken clouds
185,Chicama,PE,-7.8447,-79.1469,61.34,80,5,6.64,clear sky
186,Tucurui,BR,-3.7661,-49.6725,72.75,95,19,3.24,few clouds
187,Trairi,BR,-3.2778,-39.2689,73.87,91,6,5.1,clear sky
188,Zhuhai,CN,22.2769,113.5678,78.51,88,40,16.11,scattered clouds
189,Serro,BR,-18.6047,-43.3794,52.41,87,0,1.81,clear sky
190,Vestmannaeyjar,IS,63.4427,-20.2734,49.17,80,4,7.18,clear sky
191,Banda Aceh,ID,5.5577,95.3222,81.82,77,100,12.86,overcast clouds
192,Barrow,US,71.2906,-156.7887,24.82,86,100,10.36,overcast clouds
193,Port Lincoln,AU,-34.7333,135.8667,62.85,70,63,11.43,broken clouds
194,Lagoa,PT,39.05,-27.9833,61.48,93,100,13.18,light rain
195,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,80,100,8.05,overcast clouds
196,Havelock,US,34.8791,-76.9013,78.78,80,75,9.22,broken clouds
197,Troitsko-Pechorsk,RU,62.7084,56.1964,33.31,99,100,5.03,light snow
198,Colares,PT,38.7992,-9.4469,63.75,76,9,25.01,clear sky
199,Nelson Bay,AU,-32.7167,152.15,65.1,90,100,1.99,overcast clouds
200,Kuala Terengganu,MY,5.3302,103.1408,78.75,94,20,3.44,few clouds
201,Lasa,IT,46.6166,10.7002,61.68,77,95,3.53,overcast clouds
202,Stafford,GB,52.8052,-2.1164,59.22,74,93,5.17,overcast clouds
203,Yining,CN,29.0361,114.5636,66.58,94,100,1.1,overcast clouds
204,Leningradskiy,RU,69.3833,178.4167,38.23,89,34,3.42,scattered clouds
205,Shingu,JP,33.7333,135.9833,75.42,54,1,3.56,clear sky
206,Pevek,RU,69.7008,170.3133,35.6,90,41,8.41,scattered clouds
207,Coquimbo,CL,-29.9533,-71.3436,56.93,94,0,3.44,clear sky
208,Biak,ID,-0.9131,122.8766,80.89,73,60,4.74,broken clouds
209,Evensk,RU,61.95,159.2333,41.61,79,98,4.59,overcast clouds
210,Hamadan,IR,34.7992,48.5146,47.28,57,0,2.3,clear sky
211,Chodavaram,IN,17.8333,82.95,80.44,57,67,3.42,broken clouds
212,Padang,ID,-0.9492,100.3543,73.45,81,90,3.67,overcast clouds
213,Shizukuishi,JP,39.6833,140.9833,59.77,70,100,2.71,overcast clouds
214,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.21,71,13,8.99,few clouds
215,Forbes,AU,-33.3833,148.0167,62.37,61,66,9.51,broken clouds
216,Richards Bay,ZA,-28.783,32.0377,62.71,92,100,14.74,moderate rain
217,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,100,8.95,light intensity shower rain
218,Logan Lake,CA,50.4998,-120.8025,64.24,30,100,10.13,overcast clouds
219,Aswan,EG,24.0934,32.907,74.01,23,0,12.91,clear sky
220,Touros,BR,-5.1989,-35.4608,75.09,92,24,12.33,few clouds
221,Ancud,CL,-41.8697,-73.8203,47.86,73,19,15.9,light rain
222,Kaitangata,NZ,-46.2817,169.8464,50.85,68,100,17.25,overcast clouds
223,Khonsa,IN,27.0167,95.5667,72.32,72,98,0.58,overcast clouds
224,Saldanha,ZA,-33.0117,17.9442,48.25,89,70,2.35,broken clouds
225,Aizpute,LV,56.7167,21.6,42.03,72,91,3.36,overcast clouds
226,Victoria,HK,22.2855,114.1577,75.94,93,99,18.99,overcast clouds
227,Malysheva,RU,57.1185,61.4035,33.58,91,25,6.15,scattered clouds
228,Karasjok,NO,69.4719,25.5112,40.37,89,78,2.1,broken clouds
229,Idlib,SY,35.9306,36.6339,57.63,78,5,16.53,clear sky
230,Garango,BF,11.8,-0.5506,82.6,55,100,6.82,overcast clouds
